"Var1"	"Freq"
"268"	"escola"	2
"269"	"escuro"	2
"270"	"espécie"	1
"271"	"esperar"	1
"272"	"espetáculo"	2
"273"	"espingarda"	1
"274"	"espinha"	2
"275"	"espinho"	1
"276"	"espírito"	5
"277"	"espiritualidade"	5
"278"	"esposo"	1
"279"	"esqueci"	1
"280"	"esquina"	1
"281"	"estaria"	1
"282"	"etnia"	1
"283"	"evangelho"	1
"284"	"evangélicos"	1
"285"	"evento"	1
"286"	"exemplo"	10
"287"	"experiência"	2
"288"	"faca"	1
"289"	"falar"	2
"290"	"famíler"	1
"291"	"família"	2
"292"	"farmácia"	5
"293"	"favor"	4
"294"	"fazendeiro"	1
"295"	"fé"	7
"296"	"Fé"	2
"297"	"febre"	1
"298"	"fecho"	1
"299"	"feijão"	2
"300"	"feio"	1
"301"	"feixe"	1
"302"	"ferimento"	1
"303"	"ferramenta"	1
"304"	"festa"	1
"305"	"filha"	14
"306"	"filho"	5
"307"	"filhote"	1
"308"	"final"	2
"309"	"fininho"	1
"310"	"flecha"	5
"311"	"flor"	3
"312"	"fogo"	4
"313"	"fogueirinha"	1
"314"	"foice"	1
"315"	"folha"	3
"316"	"fome"	4
"317"	"força"	1
"318"	"forma"	1
"319"	"forte"	1
"320"	"fórum"	1
"321"	"foto"	1
"322"	"frase"	2
"323"	"frente"	8
"324"	"frio"	1
"325"	"fruta"	2
"326"	"fumo"	2
"327"	"Galho"	1
"328"	"ganhador"	1
"329"	"garrafa"	1
"330"	"gasolinar"	1
"331"	"gato"	1
"332"	"gente"	93
"333"	"goiaba"	1
"334"	"gosto"	1
"335"	"graça"	1
"336"	"graças"	1
"337"	"gráfico"	2
"338"	"gráficos"	1
"339"	"grafismo"	4
"340"	"gramame"	2
"341"	"grávida"	1
"342"	"grupo"	6
"343"	"gurugi"	1
"344"	"hino"	1
"345"	"história"	20
"346"	"homem"	4
"347"	"hora"	23
"348"	"horário"	1
"349"	"hortelã"	1
"350"	"hospital"	3
"351"	"hu"	1
"352"	"identidade"	1
"353"	"igreja"	5
"354"	"incentivador"	1
"355"	"índio"	1
"356"	"influência"	3
"357"	"inglês"	1
"358"	"início"	1
"359"	"inimigo"	1
"360"	"inspiração"	3
"361"	"instrumento"	1
"362"	"interessante"	1
"363"	"intuito"	1
"364"	"inverno"	1
"365"	"inverso"	1
"366"	"irmã"	4
"367"	"irmão"	8
"368"	"janta"	1
"369"	"jeito"	10
"370"	"jenipapo"	1
"371"	"jogo"	1
"372"	"jovem"	1
"373"	"lábio"	2
"374"	"lado"	10
"375"	"lagosta"	1
"376"	"lançar"	1
"377"	"lanterna"	1
"378"	"lembrança"	1
"379"	"lembrar"	2
"380"	"lenha"	5
"381"	"letra"	1
"382"	"libra"	1
"383"	"ligação"	2
"384"	"língua"	2
"385"	"linha"	2
"386"	"liquidificador"	1
"387"	"líquido"	1
"388"	"literatura"	3
"389"	"livres"	1
"390"	"livro"	1
"391"	"lobisomem"	1
"392"	"local"	1
"393"	"lua"	17
"394"	"lugar"	7
"395"	"luta"	3
"396"	"luz"	10
"397"	"madeira"	1
"398"	"madrugada"	3
"399"	"mãe"	20
"400"	"maioria"	5
"401"	"mal"	1
"402"	"mamãer"	1
"403"	"mamão"	1
"404"	"mancha"	1
"405"	"mangue"	1
"406"	"Mangue"	1
"407"	"manhã"	3
"408"	"manifestação"	1
"409"	"mão"	8
"410"	"máquina"	1
"411"	"mar"	3
"412"	"marido"	2
"413"	"Marquinhos"	1
"414"	"mastigado"	1
"415"	"mata"	7
"416"	"material"	2
"417"	"maternidade"	2
"418"	"mato"	1
"419"	"medicina"	9
"420"	"médico"	1
"421"	"medo"	3
"422"	"meio"	7
"423"	"meio-dia"	1
"424"	"menina"	10
"425"	"menino"	16
"426"	"mente"	9
"427"	"merj"	1
"428"	"mês"	2
"429"	"mesa"	1
"430"	"metro"	1
"431"	"milho"	1
"432"	"minuto"	1
"433"	"miolo"	1
"434"	"moça"	2
"435"	"mocinha"	1
"436"	"moço"	1
"437"	"modelo"	3
"438"	"moeda"	2
"439"	"momento"	5
"440"	"monte"	2
"441"	"morador"	2
"442"	"moralidade"	1
"443"	"morte"	1
"444"	"motor"	1
"445"	"muda"	1
"446"	"muito"	1
"447"	"mulher"	9
"448"	"mundo"	12
"449"	"muro"	2
"450"	"música"	13
"451"	"nariz"	1
"452"	"Natália"	1
"453"	"naturalidade"	1
"454"	"natureza"	7
"455"	"naturezo"	1
"456"	"né"	11
"457"	"necessidade"	2
"458"	"negão"	1
"459"	"negócio"	10
"460"	"neném"	1
"461"	"neto"	1
"462"	"neurotransmissor"	1
"463"	"ninhada"	1
"464"	"nó"	1
"465"	"noite"	17
"466"	"nome"	5
"467"	"nordeste"	1
"468"	"novo"	8
"469"	"nser"	2
"470"	"obc"	1
"471"	"obra"	1
"472"	"obrigação"	1
"473"	"observação"	1
"474"	"oca"	2
"475"	"óculos"	1
"476"	"oferenda"	1
"477"	"olhar"	2
"478"	"onda"	1
"479"	"Opa"	1
"480"	"opinião"	2
"481"	"oração"	4
"482"	"orando"	1
"483"	"ordem"	1
"484"	"orientação"	1
"485"	"ouro"	6
"486"	"outro"	2
"487"	"ovo"	1
"488"	"oxe"	1
"489"	"paciência"	1
"490"	"página"	1
"491"	"pai"	18
"492"	"pajelança"	1
"493"	"Pajero"	1
"494"	"palavra"	3
"495"	"panela"	1
"496"	"Panela"	1
"497"	"papagaio"	1
"498"	"papai"	2
"499"	"papeira"	1
"500"	"papel"	2
"501"	"papo"	1
"502"	"paquera"	1
"503"	"paradar"	1
"504"	"parceiro"	1
"505"	"parente"	1
"506"	"parte"	16
"507"	"Parteira"	1
"508"	"participação"	1
"509"	"passado"	2
"510"	"passageiro"	2
"511"	"passar"	1
"512"	"passo"	3
"513"	"pau"	4
"514"	"paz"	1
"515"	"pé"	17
"516"	"peão"	1
"517"	"peça"	1
"518"	"pedacinho"	1
"519"	"pedaço"	3
"520"	"pedra"	4
"521"	"pedreiro"	1
"522"	"peixe"	6
"523"	"peixeira"	1
"524"	"pena"	5
"525"	"peno"	1
"526"	"pensar"	1
"527"	"penteadeira"	1
"528"	"período"	2
"529"	"permissão"	1
"530"	"perna"	4
"531"	"pesa"	1
"532"	"pescaria"	1
"533"	"pescoço"	2
"534"	"pesquisa"	2
"535"	"pesquisador"	1
"536"	"pessoa"	21
"537"	"pessoal"	8
"538"	"piada"	1
"539"	"pinto"	1
"540"	"pintura"	1
"541"	"pisa"	2
"542"	"pitanga"	1
"543"	"Pitanga"	1
"544"	"placenta"	1
"545"	"planta"	5
"546"	"poder"	3
"547"	"poeira"	2
"548"	"policial"	1
"549"	"ponta"	2
"550"	"ponto"	2
"551"	"porta"	2
"552"	"portão"	3
"553"	"pouquinho"	3
"554"	"povo"	4
"555"	"praia"	1
"556"	"prata"	3
"557"	"prateleira"	1
"558"	"prática"	5
"559"	"prédio"	1
"560"	"preguiça"	1
"561"	"preso"	1
"562"	"pressa"	1
"563"	"preta"	1
"564"	"problema"	1
"565"	"processo"	2
"566"	"produção"	1
"567"	"professor"	1
"568"	"pronto"	1
"569"	"próprio"	1
"570"	"proteção"	4
"571"	"protetor"	3
"572"	"quadrilha"	2
"573"	"quantidade"	1
"574"	"quarto"	2
"575"	"querer"	2
"576"	"quero"	1
"577"	"questão"	2
"578"	"questar"	1
"579"	"quintal"	2
"580"	"quitanda"	1
"581"	"rabo"	1
"582"	"rainha"	1
"583"	"raíz"	4
"584"	"rapaz"	4
"585"	"rapé"	2
"586"	"ratificação"	1
"587"	"Recanto"	1
"588"	"recém-nascido"	1
"589"	"reciclagem"	1
"590"	"rede"	1
"591"	"reforma"	2
"592"	"reformar"	1
"593"	"refrão"	1
"594"	"régua"	1
"595"	"rei"	1
"596"	"religião"	1
"597"	"relógio"	2
"598"	"remédio"	4
"599"	"repente"	1
"600"	"respeito"	2
"601"	"responsabilidade"	1
"602"	"restante"	1
"603"	"resultado"	1
"604"	"retomada"	1
"605"	"reza"	2
"606"	"rezadeira"	1
"607"	"Rezadeira"	2
"608"	"rezar"	1
"609"	"rezo"	1
"610"	"rio"	2
"611"	"ritual"	5
"612"	"ritualística"	1
"613"	"roçar"	1
"614"	"roda"	2
"615"	"rodada"	1
"616"	"rosa"	1
"617"	"rostinho"	1
"618"	"roupa"	1
"619"	"sabedor"	1
"620"	"sabedoria"	3
"621"	"saber"	2
"622"	"saia"	1
"623"	"saída"	1
"624"	"saio"	1
"625"	"sala"	3
"626"	"sangue"	3
"627"	"santo"	1
"628"	"se"	1
"629"	"seca"	1
"630"	"segunda"	1
"631"	"semana"	4
"632"	"semente"	1
"633"	"senhor"	5
"634"	"senhora"	6
"635"	"ser"	2
"636"	"sério"	1
"637"	"serviço"	1
"638"	"sexta-feira"	1
"639"	"símbolo"	1
"640"	"sinal"	3
"641"	"situação"	4
"642"	"sobrinha"	3
"643"	"socorro"	1
"644"	"sol"	8
"645"	"solta"	1
"646"	"sonho"	9
"647"	"sozinha"	1
"648"	"sucesso"	1
"649"	"suor"	1
"650"	"supermercado"	1
"651"	"susto"	1
"652"	"talento"	1
"653"	"tamanho"	1
"654"	"tarde"	3
"655"	"telefone"	1
"656"	"televisão"	1
"657"	"tema"	1
"658"	"tempo"	22
"659"	"teoria"	2
"660"	"ter"	4
"661"	"terça-feira"	2
"662"	"terça-feiro"	1
"663"	"termo"	1
"664"	"termos"	1
"665"	"terra"	3
"666"	"terraço"	1
"667"	"terreiro"	1
"668"	"território"	1
"669"	"tesouro"	2
"670"	"testamento"	1
"671"	"testemunha"	1
"672"	"that"	1
"673"	"tia"	8
"674"	"tiara"	7
"675"	"time"	1
"676"	"tinta"	6
"677"	"tio"	5
"678"	"tipo"	9
"679"	"tiro"	2
"680"	"tocar"	1
"681"	"toco"	1
"682"	"todinho"	1
"683"	"tomate"	1
"684"	"trabalho"	1
"685"	"traço"	1
"686"	"traição"	1
"687"	"trambiqueiro"	1
"688"	"trança"	2
"689"	"troço"	1
"690"	"tronco"	1
"691"	"tu"	1
"692"	"tua"	4
"693"	"umbigo"	3
"694"	"união"	1
"695"	"universo"	2
"696"	"uso"	1
"697"	"vacina"	1
"698"	"valor"	5
"699"	"valorização"	1
"700"	"vasilha"	1
"701"	"vento"	1
"702"	"verão"	1
"703"	"verdade"	2
"704"	"verso"	1
